ID,YYYY,State,COUNTY,TotalDrugReportsCounty,county,INCOME
1,2016,VA,ACCOMACK,114,Accomack,39099
2,2016,OH,ADAMS,365,Adams,45251
3,2016,KY,ADAIR,115,Adair,28691
4,2016,PA,ALLEGHENY,9025,Allegheny,55407
5,2016,KY,ALLEN,107,Allen,39159
6,2016,VA,AMHERST,211,Amherst,34714
7,2016,VA,APPOMATTOX,99,Appomattox,35911
8,2016,VA,ARLINGTON,1173,Arlington,87268
9,2016,VA,AMELIA,12,Amelia,41937
10,2016,KY,ANDERSON,72,Anderson,37833
11,2016,OH,ASHLAND,1202,Ashland,35487
12,2016,OH,ASHTABULA,1200,Ashtabula,35615
13,2016,OH,ATHENS,698,Athens,31492
14,2016,OH,AUGLAIZE,251,Auglaize,44033
15,2016,KY,BARREN,289,Barren,34245
16,2016,PA,BEAVER,748,Beaver,44215
17,2016,VA,BEDFORD,282,Bedford,42545
18,2016,PA,BERKS,2780,Berks,45636
19,2016,VA,BOTETOURT,209,Botetourt,47153
20,2016,KY,BOURBON,156,Bourbon,41767
21,2016,KY,BOYD,289,Boyd,35855
22,2016,PA,BRADFORD,219,Bradford,37544
23,2016,WV,BRAXTON,104,Braxton,29554
24,2016,KY,BREATHITT,81,Breathitt,31025
25,2016,OH,BROWN,340,Brown,34174
26,2016,VA,BUCKINGHAM,109,Buckingham,28315
27,2016,PA,ARMSTRONG,271,Armstrong,40171
28,2016,KY,BALLARD,16,Ballard,35508
29,2016,KY,BATH,44,Bath,55608
30,2016,KY,BELL,798,Bell,27173
31,2016,OH,BELMONT,446,Belmont,36698
32,2016,PA,BLAIR,499,Blair,42475
33,2016,KY,BOONE,414,Boone,30216
34,2016,KY,BOYLE,239,Boyle,35643
35,2016,KY,BRECKINRIDGE,53,Breckinridge,32261
36,2016,VA,BRUNSWICK,135,Brunswick,31523
37,2016,WV,BERKELEY,301,Berkeley,38432
38,2016,VA,BUCHANAN,236,Buchanan,31822
39,2016,PA,BUCKS,447,Bucks,67020
40,2016,KY,BULLITT,283,Bullitt,38313
41,2016,OH,BUTLER,2706,Butler,53578
42,2016,KY,CALLOWAY,225,Calloway,33073
43,2016,PA,CAMBRIA,721,Cambria,39818
44,2016,KY,CAMPBELL,1102,Campbell,44510
45,2016,VA,CARROLL,362,Carroll,35626
46,2016,KY,CARTER,190,Carter,28813
47,2016,KY,CASEY,114,Casey,29716
48,2016,PA,CENTRE,533,Centre,42220
49,2016,OH,CHAMPAIGN,275,Champaign,37834
50,2016,VA,CHARLOTTE,50,Charlotte,33506
51,2016,WV,BARBOUR,4,Barbour,29077
52,2016,VA,BLAND,32,Bland,33270
53,2016,WV,CABELL,226,Cabell,38597
54,2016,WV,CALHOUN,18,Calhoun,26942
55,2016,VA,CAROLINE,170,Caroline,39265
56,2016,PA,CHESTER,1521,Chester,74594
57,2016,KY,BRACKEN,44,Bracken,33415
58,2016,PA,CARBON,213,Carbon,47305
59,2016,KY,CHRISTIAN,390,Christian,36015
60,2016,PA,CLARION,125,Clarion,38410
61,2016,KY,CLARK,224,Clark,38053
62,2016,KY,CLAY,270,Clay,28013
63,2016,OH,CLERMONT,1208,Clermont,48728
64,2016,KY,CLINTON,74,Clinton,36525
65,2016,PA,COLUMBIA,392,Columbia,38942
66,2016,OH,COLUMBIANA,1315,Columbiana,35353
67,2016,OH,CRAWFORD,515,Crawford,37342
68,2016,VA,CULPEPER,419,Culpeper,43301
69,2016,KY,CUMBERLAND,64,Cumberland,35862
70,2016,OH,CUYAHOGA,17469,Cuyahoga,50598
71,2016,OH,DARKE,162,Darke,37868
72,2016,KY,DAVIESS,629,Daviess,39126
73,2016,KY,CALDWELL,85,Caldwell,33305
74,2016,VA,CHESTERFIELD,1994,Chesterfield,50066
75,2016,PA,CLEARFIELD,178,Clearfield,40559
76,2016,OH,COSHOCTON,204,Coshocton,32193
77,2016,PA,DAUPHIN,2178,Dauphin,46995
78,2016,OH,DELAWARE,751,Delaware,60314
79,2016,VA,DICKENSON,134,Dickenson,29300
80,2016,WV,DODDRIDGE,31,Doddridge,24913
81,2016,KY,EDMONSON,50,Edmonson,30464
82,2016,OH,ERIE,1267,Erie,41151
83,2016,VA,ESSEX,114,Essex,38868
84,2016,KY,ESTILL,86,Estill,30075
85,2016,OH,FAIRFIELD,1294,Fairfield,42683
86,2016,VA,FAUQUIER,296,Fauquier,64644
87,2016,KY,FAYETTE,1325,Fayette,31467
88,2016,VA,CLARKE,46,Clarke,61658
89,2016,OH,DEFIANCE,658,Defiance,38754
90,2016,KY,FLOYD,299,Floyd,35939
91,2016,VA,FLUVANNA,117,Fluvanna,41218
92,2016,KY,FRANKLIN,408,Franklin,37867
93,2016,OH,FULTON,144,Fulton,39117
94,2016,OH,GALLIA,516,Gallia,36056
95,2016,KY,GARRARD,60,Garrard,32613
96,2016,OH,GEAUGA,253,Geauga,63762
97,2016,VA,GILES,171,Giles,36950
98,2016,VA,GLOUCESTER,135,Gloucester,46467
99,2016,VA,GOOCHLAND,61,Goochland,88825
100,2016,KY,GRANT,218,Grant,35095
101,2016,KY,GRAVES,306,Graves,35552
102,2016,PA,ELK,82,Elk,44469
103,2016,KY,FLEMING,46,Fleming,31382
104,2016,PA,FOREST,14,Forest,21722
105,2016,WV,GILMER,45,Gilmer,26642
106,2016,VA,GRAYSON,131,Grayson,30687
107,2016,OH,GREENE,1323,Greene,41320
108,2016,OH,GUERNSEY,704,Guernsey,36461
109,2016,OH,HAMILTON,17376,Hamilton,54968
110,2016,OH,HANCOCK,941,Hancock,38346
111,2016,VA,HANOVER,463,Hanover,56487
112,2016,KY,HARDIN,618,Hardin,30465
113,2016,KY,HARLAN,351,Harlan,28353
114,2016,OH,HARRISON,49,Harrison,42504
115,2016,KY,HENDERSON,370,Henderson,36553
116,2016,VA,HENRY,214,Henry,42267
117,2016,KY,HICKMAN,13,Hickman,37849
118,2016,OH,HIGHLAND,379,Highland,42156
119,2016,OH,HOCKING,302,Hocking,35169
120,2016,OH,HURON,476,Huron,37492
121,2016,PA,INDIANA,298,Indiana,36059
122,2016,WV,GREENBRIER,137,Greenbrier,34989
123,2016,KY,CRITTENDEN,33,Crittenden,32308
124,2016,KY,GREENUP,124,Greenup,37002
125,2016,KY,GALLATIN,17,Gallatin,29332
126,2016,VA,HALIFAX,157,Halifax,34412
127,2016,VA,HENRICO,2128,Henrico,61022
128,2016,KY,HOPKINS,367,Hopkins,37005
129,2016,VA,ISLE OF WIGHT,170,Isle of Wight,51518
130,2016,KY,JACKSON,97,Jackson,34236
131,2016,KY,JEFFERSON,3825,Jefferson,47278
132,2016,WV,HAMPSHIRE,22,Hampshire,33204
133,2016,PA,HUNTINGDON,133,Huntingdon,34605
134,2016,KY,JOHNSON,133,Johnson,31127
135,2016,WV,KANAWHA,695,Kanawha,44148
136,2016,KY,KENTON,1186,Kenton,53144
137,2016,VA,KING AND QUEEN,31,King and Queen,39467
138,2016,VA,KING GEORGE,114,King George,49823
139,2016,VA,KING WILLIAM,34,King William,43898
140,2016,OH,KNOX,243,Knox,39320
141,2016,PA,LACKAWANNA,1171,Lackawanna,43962
142,2016,OH,LAKE,5849,Lake,46930
143,2016,VA,LANCASTER,62,Lancaster,53017
144,2016,KY,LARUE,24,Larue,34069
145,2016,KY,HART,70,Hart,30395
146,2016,KY,JESSAMINE,195,Jessamine,42567
147,2016,KY,KNOTT,201,Knott,28391
148,2016,KY,LAUREL,382,Laurel,31992
149,2016,KY,LAWRENCE,72,Lawrence,39930
150,2016,PA,LEBANON,1392,Lebanon,44007
151,2016,KY,LEE,54,Lee,28233
152,2016,PA,LEHIGH,796,Lehigh,49432
153,2016,OH,LICKING,1418,Licking,42823
154,2016,KY,LINCOLN,48,Lincoln,27861
155,2016,KY,LIVINGSTON,52,Livingston,36070
156,2016,OH,LOGAN,258,Logan,32183
157,2016,VA,LOUDOUN,755,Loudoun,72813
158,2016,VA,LOUISA,109,Louisa,39076
159,2016,OH,LUCAS,2025,Lucas,43658
160,2016,VA,LUNENBURG,44,Lunenburg,31561
161,2016,PA,LUZERNE,2340,Luzerne,41917
162,2016,PA,LYCOMING,677,Lycoming,39996
163,2016,KY,MADISON,711,Madison,48152
164,2016,OH,MAHONING,2154,Mahoning,40813
165,2016,OH,MARION,743,Marion,38092
166,2016,KY,MARSHALL,58,Marshall,35099
167,2016,KY,MASON,122,Mason,30260
168,2016,KY,GREEN,13,Green,32103
169,2016,WV,HARDY,26,Hardy,31625
170,2016,PA,JUNIATA,31,Juniata,39512
171,2016,KY,LETCHER,101,Letcher,28462
172,2016,KY,LEWIS,23,Lewis,35722
173,2016,OH,LORAIN,2662,Lorain,42949
174,2016,KY,MAGOFFIN,39,Magoffin,28169
175,2016,VA,CRAIG,4,Craig,34579
176,2016,KY,ELLIOTT,22,Elliott,21103
177,2016,OH,HOLMES,74,Holmes,39048
178,2016,KY,LESLIE,57,Leslie,30122
179,2016,KY,MARTIN,74,Martin,25818
180,2016,VA,MATHEWS,46,Mathews,51349
181,2016,KY,MCCRACKEN,438,McCracken,47809
182,2016,WV,MCDOWELL,71,McDowell,27590
183,2016,PA,MCKEAN,292,McKean,41575
184,2016,KY,MEADE,87,Meade,37503
185,2016,VA,MECKLENBURG,199,Mecklenburg,34763
186,2016,OH,MEDINA,895,Medina,51862
187,2016,WV,MERCER,404,Mercer,34541
188,2016,KY,METCALFE,28,Metcalfe,29239
189,2016,OH,MIAMI,742,Miami,43650
190,2016,WV,MONONGALIA,20,Monongalia,41001
191,2016,KY,MCLEAN,47,McLean,36185
192,2016,OH,MEIGS,82,Meigs,31974
193,2016,VA,MIDDLESEX,39,Middlesex,45825
194,2016,PA,MIFFLIN,225,Mifflin,36114
195,2016,WV,MINERAL,26,Mineral,36383
196,2016,OH,MONROE,62,Monroe,28677
197,2016,KY,MONTGOMERY,201,Montgomery,73811
198,2016,KY,MORGAN,40,Morgan,32032
199,2016,KY,MUHLENBERG,225,Muhlenberg,32014
200,2016,OH,MUSKINGUM,597,Muskingum,38137
201,2016,KY,NELSON,359,Nelson,46700
202,2016,VA,NEW KENT,57,New Kent,64847
203,2016,KY,NICHOLAS,57,Nicholas,30858
204,2016,OH,NOBLE,37,Noble,24747
205,2016,PA,NORTHAMPTON,706,Northampton,44025
206,2016,PA,NORTHUMBERLAND,258,Northumberland,47163
207,2016,VA,NOTTOWAY,68,Nottoway,32636
208,2016,WV,OHIO,88,Ohio,53480
209,2016,KY,OLDHAM,116,Oldham,57746
210,2016,VA,ORANGE,176,Orange,45585
211,2016,OH,OTTAWA,187,Ottawa,47807
212,2016,KY,OWSLEY,12,Owsley,29387
213,2016,VA,PAGE,230,Page,36380
214,2016,VA,PATRICK,276,Patrick,31838
215,2016,KY,PENDLETON,30,Pendleton,33216
216,2016,OH,PERRY,228,Perry,40475
217,2016,KY,LYON,191,Lyon,33282
218,2016,KY,MCCREARY,69,McCreary,23973
219,2016,PA,MONTOUR,76,Montour,53150
220,2016,OH,MORROW,260,Morrow,36013
221,2016,KY,OWEN,36,Owen,32353
222,2016,PA,PHILADELPHIA,21194,Philadelphia,54256
223,2016,PA,PIKE,157,Pike,43868
224,2016,OH,PORTAGE,1616,Portage,40645
225,2016,PA,POTTER,55,Potter,37528
226,2016,KY,POWELL,167,Powell,30121
227,2016,VA,POWHATAN,111,Powhatan,52192
228,2016,OH,PREBLE,262,Preble,37618
229,2016,VA,PRINCE EDWARD,158,Prince Edward,29309
230,2016,OH,PUTNAM,43,Putnam,42971
231,2016,WV,RALEIGH,420,Raleigh,35660
232,2016,OH,RICHLAND,847,Richland,36469
233,2016,VA,RICHMOND,418,Richmond,34851
234,2016,OH,ROSS,545,Ross,34260
235,2016,KY,ROWAN,130,Rowan,29495
236,2016,VA,RUSSELL,189,Russell,30878
237,2016,OH,SANDUSKY,789,Sandusky,38412
238,2016,PA,SCHUYLKILL,1541,Schuylkill,39030
239,2016,KY,SCOTT,185,Scott,31570
240,2016,OH,SENECA,361,Seneca,37876
241,2016,KY,SHELBY,214,Shelby,42235
242,2016,VA,SHENANDOAH,427,Shenandoah,41567
243,2016,VA,SMYTH,680,Smyth,35337
244,2016,PA,SNYDER,184,Snyder,38478
245,2016,VA,STAFFORD,856,Stafford,51670
246,2016,OH,PICKAWAY,190,Pickaway,37764
247,2016,KY,PULASKI,426,Pulaski,37386
248,2016,WV,RITCHIE,8,Ritchie,32852
249,2016,WV,ROANE,10,Roane,31105
250,2016,KY,ROBERTSON,5,Robertson,31072
251,2016,KY,ROCKCASTLE,219,Rockcastle,29327
252,2016,WV,POCAHONTAS,35,Pocahontas,35273
253,2016,WV,RANDOLPH,117,Randolph,34066
254,2016,OH,SCIOTO,772,Scioto,35555
255,2016,PA,SOMERSET,176,Somerset,38022
256,2016,OH,STARK,4699,Stark,41781
257,2016,WV,SUMMERS,4,Summers,30446
258,2016,OH,SUMMIT,1993,Summit,47222
259,2016,OH,PAULDING,99,Paulding,36593
260,2016,KY,SIMPSON,141,Simpson,36464
261,2016,PA,SUSQUEHANNA,216,Susquehanna,39781
262,2016,KY,TAYLOR,156,Taylor,35272
263,2016,VA,TAZEWELL,912,Tazewell,33965
264,2016,OH,TRUMBULL,1501,Trumbull,38343
265,2016,OH,TUSCARAWAS,398,Tuscarawas,39830
266,2016,OH,UNION,260,Union,36876
267,2016,OH,VINTON,182,Vinton,31023
268,2016,VA,RAPPAHANNOCK,9,Rappahannock,58753
269,2016,KY,SPENCER,29,Spencer,41444
270,2016,VA,SUSSEX,45,Sussex,29033
271,2016,PA,TIOGA,56,Tioga,37828
272,2016,KY,TRIMBLE,47,Trimble,33934
273,2016,WV,UPSHUR,61,Upshur,30312
274,2016,OH,VAN WERT,124,Van Wert,38423
275,2016,PA,VENANGO,240,Venango,38411
276,2016,KY,WARREN,476,Warren,43924
277,2016,OH,WASHINGTON,580,Washington,52730
278,2016,OH,WAYNE,847,Wayne,30034
279,2016,WV,WEBSTER,59,Webster,26076
280,2016,PA,WESTMORELAND,1331,Westmoreland,40162
281,2016,KY,WHITLEY,226,Whitley,31354
282,2016,OH,WOOD,607,Wood,38254
283,2016,OH,WYANDOT,147,Wyandot,40523
284,2016,PA,WYOMING,222,Wyoming,27127
285,2016,WV,MINGO,13,Mingo,28428
286,2016,KY,TODD,33,Todd,35317
287,2016,KY,WOLFE,45,Wolfe,29501
288,2016,VA,WYTHE,492,Wythe,32966
289,2016,PA,YORK,3610,York,45790
290,2016,KY,TRIGG,32,Trigg,35123
291,2016,KY,WOODFORD,90,Woodford,47781
292,2016,WV,WETZEL,7,Wetzel,30324
293,2016,OH,WILLIAMS,39,Williams,38775
294,2016,WV,WIRT,4,Wirt,29435
295,2016,PA,SULLIVAN,4,Sullivan,42579
296,2016,WV,TYLER,22,Tyler,32923
